source_table,source_column,target_column,cast_to,na_default,is_generated,transformation,expr,dq_rule
collection_center_procurement,col_id,col_id,integer,0,N,NA,NA,NA
chilling_center_procurement,NA,dwid,integer,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), col_id)",NA
chilling_center_procurement,col_id,col_id,integer,0,N,NA,NA,NA
chilling_center_procurement,quantity,quantity,integer,0,N,NA,NA,NA
chilling_center_procurement,fat,fat,float,0,N,NA,NA,NA
chilling_center_procurement,snf,snf,float,0,N,NA,NA,NA
chilling_center_procurement,date,date,date,2022-01-01,N,NA,NA,NA
chilling_center_procurement,qa_check,qa_check,string,_,N,NA,NA,NA
chilling_center_procurement,commission,commission,float,0,N,NA,NA,NA
chilling_center_procurement,route_id,route_id,string,_,N,NA,NA,NA
chilling_center_procurement,chl_id,chl_id,integer,0,N,NA,NA,NA
aggregated_procurement,NA,dwid,integer,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), chl_id)",NA
aggregated_procurement,chl_id,chl_id,integer,0,N,NA,NA,NA
aggregated_procurement,quantity,quantity,integer,0,N,NA,NA,NA
aggregated_procurement,fat,fat,float,0,N,NA,NA,NA
aggregated_procurement,snf,snf,float,0,N,NA,NA,NA
aggregated_procurement,date,date,date,2022-01-01,N,NA,NA,NA
aggregated_procurement,qa_check,qa_check,string,_,N,NA,NA,NA
aggregated_procurement,route_id,route_id,string,_,N,NA,NA,NA
daily_logistics,NA,dwid,string,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), route_id)",NA
daily_logistics,route_id,route_id,string,_,N,NA,NA,NA
daily_logistics,contractor_id,contractor_id,integer,0,N,NA,NA,NA
daily_logistics,material,material,string,_,N,NA,NA,NA
daily_logistics,date,date,date,2022-01-01,N,NA,NA,NA
production_data,NA,dwid,integer,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), product_id)",NA
production_data,batch_no,batch_no,string,_,N,NA,NA,NA
production_data,date,date,date,2022-01-01,N,NA,NA,NA
production_data,product_id,product_id,integer,0,N,NA,NA,NA
production_data,quantity,quantity,integer,0,N,NA,NA,NA
sales_data,NA,dwid,string,NA,Y,EXPR,"concat(unix_timestamp(date,'yyyy-MM-dd'), product_id, distributor_id)",NA
sales_data,sales_id,sales_id,string,_,N,NA,NA,NA
sales_data,date,date,date,2022-01-01,N,NA,NA,NA
sales_data,product_id,product_id,integer,0,N,NA,NA,NA
sales_data,quantity,quantity,integer,0,N,NA,NA,NA
sales_data,distributor_id,distributor_id,integer,0,N,NA,NA,NA
sales_data,route_id,route_id,string,_,N,NA,NA,NA
